"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"202 - Eindom House - Comercial";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952 0723";"4229";"1/1";"00";"31/07/2023";"976,50";"18/08/2023";"0,00";"0";"15/08/2023";"976,50";"0,00";"0,00";"976,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952 0723";"4229";"1/1";"00";"31/07/2023";"1.991,75";"18/08/2023";"0,00";"0";"15/08/2023";"1.991,75";"0,00";"0,00";"1.991,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"203 - Eindom House  - Marketing";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952- 08/2023";"4977";"1/1";"00";"31/08/2023";"119,51";"20/09/2023";"0,00";"0";"20/09/2023";"119,51";"0,00";"0,00";"119,51";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"202 - Eindom House - Comercial";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952- 08/2023";"4977";"1/1";"00";"31/08/2023";"976,50";"20/09/2023";"0,00";"0";"20/09/2023";"976,50";"0,00";"0,00";"976,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"201 - Eindom House - Adm/Financeiro";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952- 08/2023";"4977";"1/1";"00";"31/08/2023";"1.743,75";"20/09/2023";"0,00";"0";"20/09/2023";"1.743,75";"0,00";"0,00";"1.743,75";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"204 - Eindom House  - Operações";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952 - 0823";"5040";"1/1";"00";"31/08/2023";"4.231,50";"20/09/2023";"0,00";"0";"20/09/2023";"4.231,50";"0,00";"0,00";"4.231,50";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"5 - MINISTERIO DA ECONOMIA - 5952 - CSRF";"202 - Eindom House - Comercial";"2.04.03.03 - PIS/COFINS/CSLL ( 5952)";"DARF.CSRF 5952 - 08/2023";"5316";"1/1";"00";"31/08/2023";"325,50";"20/09/2023";"325,50";"7";"";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"12 - MINISTERIO DA ECONOMIA - PIS";"201 - Eindom House - Adm/Financeiro";"1.01.02.02 - (-)  PIS s/ Faturamento";"DARF.PIS 0423";"4050";"1/1";"00";"30/04/2023";"54,52";"25/05/2023";"0,00";"0";"25/05/2023";"54,52";"0,00";"0,00";"54,52";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"13 - MINISTERIO DA ECONOMIA - COFINS";"201 - Eindom House - Adm/Financeiro";"1.01.02.03 - (-) COFINS s/ Faturamento";"DARF.COFINS0423";"4051";"1/1";"00";"30/04/2023";"251,40";"25/05/2023";"0,00";"0";"25/05/2023";"251,40";"0,00";"0,00";"251,40";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"202 - Eindom House - Comercial";"2.04.03.05 - INSS Terceiros PJ";"DARF.INSS RET 01.2023";"1750";"1/1";"00";"31/01/2023";"877,80";"17/02/2023";"0,00";"0";"17/02/2023";"877,80";"0,00";"0,00";"877,80";"";"";"";"";"";"";
"2 - EINDOM HOUSE ADMINISTRADORA DE IMÓVEIS LTDA";"14 - INSTITUTO NACIONAL DO SEGURO SOCIAL - RET. TERC.";"201 - Eindom House - Adm/Financeiro";"2.03.03.01 - Multas e Acréscimos";"GUIA.250123";"2841";"1/1";"00";"01/01/2023";"100,00";"05/01/2023";"0,00";"0";"05/01/2023";"100,00";"0,00";"0,00";"100,00";"";"";"";"";"";"";
